[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_parse ] --START--
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.023001s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023001s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_filter ] --START--
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_end ] --START--
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001001s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/Admin/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001001s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/public/verify/ | INFO: Tag[ route_check ] --START--
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2017-01-14T12:45:00+08:00 ] /admin/index.php/public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
