[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ route_check ] --START--
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ app_begin ] --START--
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-03-24T16:15:10+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SHOW COLUMNS FROM `xc_ip` [ RunTime:0.006000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SHOW COLUMNS FROM `xc_user` [ RunTime:0.006001s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SHOW COLUMNS FROM `xc_sms` [ RunTime:0.006000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SHOW COLUMNS FROM tp_admin.xc_node [ RunTime:0.007000s ]
[ 2017-03-24T16:15:13+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SELECT `id` FROM tp_admin.xc_node WHERE  level=1 and name="CarService" LIMIT 1   [ RunTime:0.000000s ]
