[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Run ParseTemplate Behavior [ RunTime:0.011001s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011001s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_filter ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Run TokenBuild Behavior [ RunTime:0.007000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Run ShowRuntime Behavior [ RunTime:0.001001s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009001s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_end ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Admin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/top | INFO: Tag[ route_check ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/top | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/top | INFO: Tag[ app_begin ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/top | SQL: SHOW COLUMNS FROM `xc_ip` [ RunTime:0.002000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/top | SQL: SHOW COLUMNS FROM `xc_user` [ RunTime:0.003000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/top | SQL: SHOW COLUMNS FROM `xc_sms` [ RunTime:0.002000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | SQL: SHOW COLUMNS FROM tp_admin.xc_group [ RunTime:0.028001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | SQL: SELECT * FROM tp_admin.xc_group WHERE status=1  [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Tag[ view_template ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Tag[ view_parse ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Run ParseTemplate Behavior [ RunTime:0.016001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Tag[ view_filter ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Tag[ view_end ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.001001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.001001s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ route_check ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ app_begin ] --START--
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SHOW COLUMNS FROM `xc_ip` [ RunTime:0.002000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SHOW COLUMNS FROM `xc_user` [ RunTime:0.003000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SHOW COLUMNS FROM `xc_sms` [ RunTime:0.002000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SHOW COLUMNS FROM tp_admin.xc_node [ RunTime:0.010001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SELECT `id` FROM tp_admin.xc_node WHERE  level=1 and name="CarService" LIMIT 1   [ RunTime:0.020001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | SQL: SELECT `id`,`name`,`module`,`group_id`,`title` FROM tp_admin.xc_node WHERE ( `level` = '2' AND `is_show` = '1' AND `status` = '1' AND `pid` = '227' ) ORDER BY sort asc  [ RunTime:0.000000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | NOTIC: [8] Undefined index: _ACCESS_LIST PublicAction.class.php 第 58 行.
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_template ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_parse ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run ParseTemplate Behavior [ RunTime:0.018001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018001s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_filter ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_end ] --START--
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/menu/tag/10/title/%E4%B8%8A%E9%97%A8%E4%BF%9D%E5%85%BB%E7%AE%A1%E7%90%86/name/CarService | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2015-10-22T22:54:15+08:00 ] /admin/index.php/Public/drag | ERR: (ThinkException) 非法操作drag
[ 2015-10-22T22:54:14+08:00 ] /admin/index.php/Public/footer | INFO: Tag[ route_check ] --START--
