[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SELECT `longitude`,`latitude`,`order_time` FROM tp_xieche.xc_reservation_order WHERE ( (`order_time` > 1490284800) AND (`order_time` < 1490371200)  ) AND ( `status` <> 8 ) AND ( `technician_id` = 55 ) ORDER BY order_time asc LIMIT 1   [ RunTime:0.001000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SELECT `longitude`,`latitude`,`order_time` FROM tp_xieche.xc_reservation_order WHERE ( (`order_time` > 1490284800) AND (`order_time` < 1490371200)  ) AND ( `status` <> 8 ) AND ( `technician_id` = 56 ) ORDER BY order_time asc LIMIT 1   [ RunTime:0.001000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SELECT `longitude`,`latitude`,`order_time` FROM tp_xieche.xc_reservation_order WHERE ( (`order_time` > 1490284800) AND (`order_time` < 1490371200)  ) AND ( `status` <> 8 ) AND ( `technician_id` = 57 ) ORDER BY order_time asc LIMIT 1   [ RunTime:0.000000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SELECT `longitude`,`latitude`,`order_time` FROM tp_xieche.xc_reservation_order WHERE ( (`order_time` > 1490284800) AND (`order_time` < 1490371200)  ) AND ( `status` <> 8 ) AND ( `technician_id` = 58 ) ORDER BY order_time asc LIMIT 1   [ RunTime:0.000000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SELECT `longitude`,`latitude`,`order_time` FROM tp_xieche.xc_reservation_order WHERE ( (`order_time` > 1490284800) AND (`order_time` < 1490371200)  ) AND ( `status` <> 8 ) AND ( `technician_id` = 59 ) ORDER BY order_time asc LIMIT 1   [ RunTime:0.001000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SELECT `longitude`,`latitude`,`order_time` FROM tp_xieche.xc_reservation_order WHERE ( (`order_time` > 1490284800) AND (`order_time` < 1490371200)  ) AND ( `status` <> 8 ) AND ( `technician_id` = 60 ) ORDER BY order_time asc LIMIT 1   [ RunTime:0.000000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SELECT `longitude`,`latitude`,`order_time` FROM tp_xieche.xc_reservation_order WHERE ( (`order_time` > 1490284800) AND (`order_time` < 1490371200)  ) AND ( `status` <> 8 ) AND ( `technician_id` = 61 ) ORDER BY order_time asc LIMIT 1   [ RunTime:0.001000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SELECT `longitude`,`latitude`,`order_time` FROM tp_xieche.xc_reservation_order WHERE ( (`order_time` > 1490284800) AND (`order_time` < 1490371200)  ) AND ( `status` <> 8 ) AND ( `technician_id` = 62 ) ORDER BY order_time asc LIMIT 1   [ RunTime:0.000000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | SQL: SELECT `longitude`,`latitude`,`order_time` FROM tp_xieche.xc_reservation_order WHERE ( (`order_time` > 1490284800) AND (`order_time` < 1490371200)  ) AND ( `status` <> 8 ) AND ( `technician_id` = 63 ) ORDER BY order_time asc LIMIT 1   [ RunTime:0.000000s ]
[ 2017-03-24T16:34:51+08:00 ] /admin/index.php/Carservice/Technicianassign/index/ | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
